DATE,WASH911BPPRIV
2014-09-01,2162
2014-10-01,2472
2014-11-01,1194
2014-12-01,1301
2015-01-01,1898
2015-02-01,1176
2015-03-01,1787
2015-04-01,2649
2015-05-01,1755
2015-06-01,2769
2015-07-01,2094
2015-08-01,1926
2015-09-01,2059
2015-10-01,2717
2015-11-01,2072
2015-12-01,1250
2016-01-01,1818
2016-02-01,1238
2016-03-01,2071
2016-04-01,1789
2016-05-01,3375
2016-06-01,2578
2016-07-01,1557
2016-08-01,2329
2016-09-01,2437
2016-10-01,1666
2016-11-01,1202
2016-12-01,1766
2017-01-01,1557
2017-02-01,1441
2017-03-01,2072
2017-04-01,1845
2017-05-01,2406
2017-06-01,2432
2017-07-01,2314
2017-08-01,2008
2017-09-01,2244
2017-10-01,3179
2017-11-01,2514
2017-12-01,1106
2018-01-01,1529
2018-02-01,2599
2018-03-01,2315
2018-04-01,1579.0
2018-05-01,1664.0
2018-06-01,2595.0
2018-07-01,2015.0
2018-08-01,1848.0
2018-09-01,2114.0
2018-10-01,2486.0
2018-11-01,2213.0
2018-12-01,1931.0
2019-01-01,2401.0
2019-02-01,2543.0
2019-03-01,1807.0
2019-04-01,2622.0
2019-05-01,2350.0
2019-06-01,1945.0
2019-07-01,2870.0
2019-08-01,1698.0
2019-09-01,1972.0
2019-10-01,2265.0
2019-11-01,1529.0
2019-12-01,1813.0
2020-01-01,2178.0
2020-02-01,1961.0
2020-03-01,2057.0
2020-04-01,1500.0
2020-05-01,1743.0
2020-06-01,2432.0
2020-07-01,1714.0
2020-08-01,1568.0
2020-09-01,2246.0
2020-10-01,2391.0
2020-11-01,1813.0
2020-12-01,2832.0
2021-01-01,2483.0
2021-02-01,3480.0
2021-03-01,3113.0
2021-04-01,2304.0
2021-05-01,1759.0
2021-06-01,2078.0
2021-07-01,1550.0
2021-08-01,1651.0
2021-09-01,2341.0
2021-10-01,1707.0
2021-11-01,2001.0
2021-12-01,2372.0
2022-01-01,2378.0
2022-02-01,1935.0
2022-03-01,3735.0
2022-04-01,1842.0
2022-05-01,2985.0
2022-06-01,2730.0
2022-07-01,2609.0
2022-08-01,3375.0
2022-09-01,3631.0
2022-10-01,2129.0
2022-11-01,1852.0
2022-12-01,2793.0
2023-01-01,2098.0
2023-02-01,1654.0
2023-03-01,1606.0
2023-04-01,2332.0
2023-05-01,1528.0
2023-06-01,2081.0
2023-07-01,1924.0
2023-08-01,2249.0
2023-09-01,1475.0
2023-10-01,1848.0
